z,x1,x2
1.1,1.4602795090679925,1.6905032526979196
1.125,1.493599219203778,1.7293010443943788
1.1500000000000001,1.5269248458767102,1.7681160745433881
1.175,1.5602563937446794,1.8069483749824244
1.2000000000000002,1.5935938674716654,1.8457979776471067
1.225,1.6269372717277903,1.8846649145715957
1.25,1.6602866111893362,1.92354921788901
1.2750000000000001,1.693641890538709,1.9624509198318765
1.3,1.7270031144644569,2.0013700527325624
1.3250000000000002,1.7603702876613405,2.040306649023687
1.35,1.7937434148302627,2.0792607412385697
1.375,1.8271225006783725,2.1182323620116774
1.4000000000000001,1.8605075499189625,2.157221544079051
1.425,1.8938985672715887,2.1962283202787454
1.4500000000000002,1.9272955574620194,2.2352527235513
1.475,1.960698525222253,2.274294786940161
1.5,1.9941074752905696,2.313354543592148
1.5250000000000001,2.0275224124114617,2.3524320267578984
1.55,2.0609433413357565,2.391527269792316
1.5750000000000002,2.094370266820527,2.4306403061550546
1.6,2.1278031936291653,2.469771169410949
1.625,2.161242126531344,2.508919893230501
1.6500000000000001,2.194687070303072,2.5480865113903475
1.675,2.2281380297267255,2.5872710577736986
1.7000000000000002,2.261595009590982,2.6264735663708465
1.725,2.2950580146908885,2.6656940712796224
1.75,2.3285270498278603,2.7049326067058614
1.7750000000000001,2.3620021198097017,2.7441892069639136
1.8,2.3954832294505852,2.7834639064770963
1.8250000000000002,2.428970383571123,2.822756739778189
1.85,2.4624635869983154,2.8620677415099323
1.875,2.495962844565601,2.9013969464255007
1.9000000000000001,2.5294681611128587,2.940744389389021
1.925,2.562979541486407,2.980110105376037
1.9500000000000002,2.5964969905390567,3.019494129474027
1.975,2.630020513130075,3.0588964968829098
2.0,2.663550114125204,3.098317242915547
2.025,2.6970857983967305,3.137756402998229
2.0500000000000003,2.730627570823398,3.1772140126712243
2.075,2.7641754362905133,3.216690107589262
2.1,2.7977293996899086,3.256184723522065
2.125,2.831289465919962,3.295697896354867
2.15,2.864855639885613,3.335229662088933
2.1750000000000003,2.898427926498398,3.374780056842078
2.2,2.9320063306764164,3.4143491168492113
2.225,2.9655908573443464,3.453936878462859
2.25,2.999181511433533,3.4935433781537
2.275,3.032778297881885,3.533168652511103
2.3000000000000003,3.0663812216339763,3.572812738243683
2.325,3.0999902876410657,3.6124756721798166
