delta_z,z_e1,x_e1,y_e1,z_e2,x_e2,y_e2,z_e3,x_e3,y_e3,z_e4,x_e4,y_e4,z_e5,x_e5,y_e5
3.2877132421288535,5.7230563844465223,-0.18737823443227067,0.38469578707888891,8.1583995267641924,-0.42684544155530252,0.03007358240482198,10.593742669081861,-0.23946720712303193,-0.35462220467406697,13.029085811399531,0.18737823443227092,-0.38469578707888907,15.464428953717199,0.4268454415553023,-0.030073582404822014
3.3485968206867951,5.7839399630044639,-0.1953298872892128,0.3880351112967777,8.219283105322134,-0.43371320758793797,0.024856911137579277,10.654626247639802,-0.23838332029872508,-0.36317820015919844,13.089969389957473,0.19532988728921316,-0.38803511129677781,15.525312532275141,0.43371320758793774,-0.024856911137579315
3.4094803992447367,5.8448235415624055,-0.20336622863075282,0.39116514120586016,8.2801666838800756,-0.44044206367457839,0.019462250336863836,10.715509826197744,-0.23707583504382559,-0.37170289086899649,13.150852968515414,0.20336622863075263,-0.3911651412058601,15.586196110833082,0.44044206367457822,-0.019462250336863801
3.4703639778026787,5.9057071201203479,-0.21148175074995937,0.39408373163998511,8.3410502624380172,-0.44702739819337611,0.013893297233718958,10.776393404755687,-0.2355456474434168,-0.38019043440626632,13.211736547073356,0.21148175074995915,-0.39408373163998511,15.647079689391024,0.447027398193376,-0.013893297233718885
3.5312475563606203,5.9665906986782895,-0.21967089167335113,0.39678888234305576,8.4019338409959587,-0.45346469788499655,0.008153868510426255,10.837276983313629,-0.23379380621164542,-0.38863501383262988,13.272620125631297,0.21967089167335105,-0.39678888234305582,15.707963267948966,0.45346469788499655,-0.0081538685104261092
3.5921311349185618,6.0274742772362311,-0.22792803897279623,0.39927873933990571,8.4628174195539003,-0.45974955094578163,0.0022478976847417013,10.89816056187157,-0.23182151197298534,-0.39703084165516433,13.333503704189239,0.22792803897279618,-0.39927873933990571,15.768846846506907,0.45974955094578163,-0.0022478976847415547
3.6530147134765039,6.0883578557941735,-0.23624753361198919,0.40155159620692032,8.5237009981118419,-0.46587765005137854,-0.0038205675859404732,10.959044140429512,-0.22963011643938955,-0.40537216379286067,13.39438728274718,0.23624753361198916,-0.40155159620692038,15.829730425064849,0.46587765005137821,0.003820567585940327
3.7138982920344454,6.1492414343521151,-0.24462367382487238,0.40360589524153467,8.5845845766697835,-0.471844795308766,-0.010047368278650548,11.019927718987454,-0.22722112148389387,-0.41365326352018505,13.455270861305122,0.24462367382487235,-0.40360589524153467,15.89061400362279,0.47184479530876572,0.010047368278650366
3.774781870592387,6.2101250129100567,-0.25305071902334125,0.40544022852980499,8.645468155227725,-0.47764689713464997,-0.016428236855229119,11.080811297545395,-0.22459617811130889,-0.42186846538503409,13.516154439863064,0.25305071902334136,-0.40544022852980505,15.951497582180732,0.4776468971346497,0.016428236855229046
3.835665449150329,6.2710085914679983,-0.26152289373155735,0.40705333891132245,8.7063517337856666,-0.48327997905826048,-0.022958800187085411,11.141694876103337,-0.22175708532670341,-0.43001213909840802,13.577038018421007,0.26152289373155746,-0.40705333891132256,16.012381160738673,0.48327997905826037,0.022958800187085449
3.8965490277082706,6.3318921700259398,-0.27003439154416997,0.40844412084080828,8.7672353123436082,-0.48874018044662593,-0.029634582552320838,11.202578454661278,-0.21870578890245609,-0.43807870339312927,13.637921596978948,0.27003439154417025,-0.40844412084080833,16.073264739296615,0.48874018044662576,0.029634582552320876
3.9574326062662122,6.3927757485838814,-0.27857937910573743,0.40961162114579908,8.8281188909015498,-0.49402375915045776,-0.036451008703164881,11.26346203321922,-0.21544438004472047,-0.44606262984896411,13.69880517553689,0.27857937910573766,-0.40961162114579919,16.134148317854557,0.49402375915045765,0.036451008703164922
4.0183161848241538,6.453659327141823,-0.28715200010861658,0.41055503967990381,8.8890024694594914,-0.4991270940688331,-0.043403407001621888,11.324345611777161,-0.21197509396021666,-0.4539584466815258,13.759688754094832,0.2871520001086168,-0.41055503967990387,16.195031896412498,0.49912709406883299,0.043403407001621923
4.0791997633820962,6.5145429056997655,-0.29574637930658393,0.41127372987118394,8.9498860480174347,-0.50404668763091598,-0.050487012621178065,11.385229190335103,-0.20830030832433225,-0.4617607424923621,13.820572332652773,0.29574637930658415,-0.41127372987118399,16.255915474970443,0.50404668763091598,0.0504870126211781
4.1400833419400378,6.575426484257707,-0.30435662654143592,0.41176719916528165,9.0107696265753763,-0.50877916819301838,-0.057696970812375833,11.446112768893045,-0.20442254165158244,-0.46946416997765766,13.881455911210715,0.30435662654143569,-0.41176719916528171,16.316799053528385,0.50877916819301827,0.057696970812375875
4.2009669204979794,6.6363100628156486,-0.31297684077980953,0.41203510936299231,9.0716532051333179,-0.51332129234935553,-0.065028340230016371,11.506996347450986,-0.20034445156954625,-0.47706344959300834,13.942339489768656,0.31297684077980931,-0.41203510936299231,16.377682632086326,0.51332129234935542,0.065028340230016413
4.2618504990559209,6.6971936413735902,-0.32160111415745474,0.4120772768520487,9.1325367836912594,-0.51766994715491477,-0.072476096319710914,11.567879926008928,-0.1960688329974602,-0.48455337317175928,14.003223068326598,0.32160111415745468,-0.41207727685204876,16.438566210644268,0.51766994715491477,0.072476096319710956
4.3227340776138625,6.7580772199315318,-0.33022353602819088,0.41189367273296018,9.193420362249201,-0.52182215225891282,-0.080035134761459265,11.628763504566869,-0.191598616230722,-0.49192880749441908,14.064106646884539,0.33022353602819088,-0.41189367273296024,16.49944978920221,0.5218221522589126,0.080035134761459306
4.3836176561718041,6.8189607984894733,-0.3388381970147672,0.41148442283881875,9.2543039408071426,-0.52577506194737822,-0.087700274967895619,11.689647083124811,-0.18693686493261116,-0.49918469780671426,14.124990225442481,0.33883819701476731,-0.41148442283881875,16.560333367760151,0.52577506194737822,0.087700274967895939
4.4445012347297466,6.8798443770474158,-0.34743919305885568,0.41084980764905926,9.3151875193650859,-0.52952596709346333,-0.095466263634805565,11.750530661682754,-0.18208677403460785,-0.50631607128386436,14.185873804000423,0.34743919305885557,-0.41084980764905926,16.621216946318093,0.52952596709346322,0.095466263634805607
4.5053848132876881,6.9407279556053574,-0.35602062946739649,0.40999026209723316,9.3760710979230275,-0.53307229701414249,-0.10332777834147579,11.811414240240696,-0.17705166754674606,-0.51331804043870854,14.246757382558364,0.35602062946739654,-0.40999026209723316,16.682100524876034,0.53307229701414238,0.10332777834147583
4.5662683918456297,7.001611534163299,-0.36457662495252796,0.40890637527292634,9.4369546764809691,-0.53641162123203134,-0.11127943119841803,11.872297818798637,-0.17183499627950335,-0.52018580647134394,14.307640961116306,0.36457662495252802,-0.40890637527292634,16.742984103433976,0.53641162123203112,0.11127943119841807
4.6271519704035713,7.0624951127212405,-0.37310131566232579,0.40759889001802685,9.4978382550389107,-0.53954165114111374,-0.11931577253995805,11.933181397356579,-0.16644033547878784,-0.52691466255798447,14.368524539674247,0.37310131566232552,-0.40759889001802696,16.803867681991917,0.53954165114111341,0.11931577253995754
4.6880355489615129,7.1233786912791821,-0.38158885919959568,0.40606870241761805,9.5587218335968522,-0.54246024157523853,-0.12743129465916403,11.994064975914521,-0.16087138237564294,-0.5334999970767822,14.429408118232189,0.38158885919959529,-0.40606870241761817,16.864751260549859,0.54246024157523842,0.12743129465916406
4.7489191275194544,7.1842622698371237,-0.39003343862595902,0.40431686118584675,9.6196054121547938,-0.54516539227830918,-0.13562043558255593,12.054948554472462,-0.15513195365235016,-0.53993729676840274,14.490291696790131,0.39003343862595885,-0.40431686118584681,16.925634839107801,0.54516539227830918,0.13562043558255599
4.8098027060773969,7.2451458483950661,-0.39842926644849369,0.40234456694718662,9.6804889907127354,-0.54765524927515918,-0.14387758288200106,12.115832133030406,-0.14922598282666558,-0.54622214982918782,14.551175275348074,0.39842926644849391,-0.40234456694718662,16.986518417665742,0.54765524927515907,0.14387758288200109
4.8706862846353385,7.3060294269530077,-0.40677058858619042,0.40015317141359075,9.741372569270677,-0.5499281061421738,-0.15219707752119405,12.176715711588347,-0.14315751755598327,-0.5523502489347849,14.612058853906015,0.40677058858619025,-0.4001531714135908,17.047401996223684,0.54992810614217369,0.15219707752119407
4.9315698631932801,7.3669130055109493,-0.41505168831351485,0.39774417645809507,9.8022561478286185,-0.5519824051767882,-0.16057321773407723,12.237599290146289,-0.13693071686327324,-0.55831739419217241,14.672942432463957,0.41505168831351469,-0.39774417645809512,17.108285574781625,0.55198240517678798,0.16057321773407726
4.9924534417512216,7.4277965840688909,-0.42326689017836372,0.39511923308551006,9.8631397263865601,-0.55381673846505852,-0.16900026293254625,12.29848286870423,-0.13054984828669455,-0.56411949601805633,14.733826011021899,0.42326689017836366,-0.39511923308551017,17.169169153339567,0.55381673846505841,0.16900026293254625
5.0533370203091632,7.4886801626268324,-0.4314105638917376,0.39228014030090463,9.9240233049445017,-0.55542984884657598,-0.17747243764076234,12.359366447262172,-0.12401928495483812,-0.56975257794166689,14.79470958957984,0.4314105638917376,-0.39228014030090463,17.230052731897509,0.55542984884657587,0.1774724376407624
5.1142205988671048,7.549563741184774,-0.43947712818645879,0.38922884387665729,9.9849068835024433,-0.5568206307760617,-0.1859839354533751,12.420250025820113,-0.11734350258960317,-0.57521277933003212,14.855593168137782,0.43947712818645884,-0.38922884387665729,17.29093631045545,0.55682063077606159,0.18598393545337458
5.1751041774250472,7.6104473197427165,-0.44746105464229369,0.38596743501892172,10.045790462060385,-0.5579881310810525,-0.19452892301494198,12.481133604378055,-0.11052707643875913,-0.58049635803386401,14.916476746695725,0.44746105464229369,-0.38596743501892178,17.351819889013392,0.55798813108105239,0.19452892301494201
5.2359877559829888,7.6713308983006581,-0.45535687147485526,0.38249814893441797,10.106674040618326,-0.55893154961515723,-0.2031015440178211,12.542017182935997,-0.10357467814030212,-0.58559969295223924,14.977360325253667,0.45535687147485532,-0.38249814893441797,17.412703467571333,0.55893154961515712,0.20310154401782113
5.2968713345409304,7.7322144768585996,-0.46315916728569156,0.3788233632985335,10.167557619176268,-0.55965023980643736,-0.21169592321578842,12.602900761493938,-0.096491072520745916,-0.59051928651432217,15.038243903811608,0.46315916728569168,-0.3788233632985335,17.473587046129275,0.55965023980643736,0.21169592321578848
5.357754913098872,7.7930980554165412,-0.47086259477098702,0.37494559662578381,10.22844119773421,-0.56014370910053513,-0.2203061704506406,12.66378434005188,-0.089281114329548134,-0.59525176707642447,15.09912748236955,0.47086259477098724,-0.37494559662578369,17.534470624687216,0.56014370910053501,0.2203061704506406
